epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2301,1.88524,2.58854,1.62972,0.53413,0.42772,0.39225,0.15337,2.01925,2.1794,1.76982,0.000553164,0.000553164,0.000553164
2,125.725,1.75832,1.89784,1.53372,0.57619,0.5837,0.57166,0.21884,1.98983,1.74133,1.66392,0.000999056,0.000999056,0.000999056
3,183.998,1.73298,1.70715,1.53582,0.60072,0.6087,0.59623,0.24088,1.86838,1.76494,1.63453,0.00133493,0.00133493,0.00133493
4,240.463,1.68676,1.57651,1.50163,0.62601,0.60519,0.60396,0.2345,1.99422,1.55268,1.68312,0.0011719,0.0011719,0.0011719
5,298.419,1.6441,1.44662,1.46893,0.70448,0.68804,0.72365,0.31485,1.90025,1.25391,1.56608,0.00100687,0.00100687,0.00100687
6,357.208,1.59327,1.33656,1.43374,0.67582,0.67228,0.64297,0.24405,2.11769,1.37302,1.7264,0.000841835,0.000841835,0.000841835
7,414.933,1.56085,1.24224,1.4066,0.76055,0.66141,0.70686,0.26704,2.07603,1.1832,1.68167,0.000676802,0.000676802,0.000676802
8,473.626,1.50915,1.15147,1.37693,0.69586,0.72031,0.75201,0.31982,1.88462,1.13257,1.58426,0.000511769,0.000511769,0.000511769
9,530.999,1.49225,1.08546,1.36363,0.76914,0.71302,0.75592,0.31695,1.90234,1.14364,1.57433,0.000346736,0.000346736,0.000346736
10,589.719,1.44032,1.02149,1.32738,0.80039,0.69348,0.73448,0.31108,1.92422,1.15838,1.59811,0.000181703,0.000181703,0.000181703
